area,pre,shock,post,class
CO.ATL,24.91103202846975,8.035816783377339,5.165882217885432,Relative persistent decline
CO.BOL,-10.912265386294195,-2.5461952568019792,-18.91459333624327,Improvement then reversal
CO.BOY,15.410245730945439,15.618492294877136,-31.93113980285992,Improvement then reversal
CO.CAL,-7.234108049869169,-17.700477143296908,-1.5391719255040788,"Temporary decline, rebounded"
CO.CAQ,3.8647342995169085,19.32367149758454,33.81642512077295,Relative persistent improvement
CO.CAU,-4.468980021030495,-0.6572029442691907,9.200841219768664,Relative persistent improvement
CO.CES,9.09090909090909,150.0,200.0,Relative persistent improvement
CO.CHO,20.710059171597635,59.1715976331361,44.37869822485207,Relative persistent improvement
CO.COR,15.665796344647521,35.90078328981723,150.13054830287206,Relative persistent improvement
CO.CUN,20.377807526401906,6.693440428380188,16.361743269373793,Relative persistent decline
CO.DC,-0.3689372034559979,-4.8047635798920645,-1.2869902446139458,Relative persistent decline
CO.HUI,2.27169468423444,-6.815084052703318,18.173557473875512,"Temporary decline, rebounded"
CO.LAG,29.60969044414536,-3.3647375504710633,47.10632570659489,"Temporary decline, rebounded"
CO.MAG,6.676204101096803,-5.960896518836433,14.30615164520744,"Temporary decline, rebounded"
CO.MET,3.5014005602240887,22.75910364145658,10.504201680672269,Relative persistent improvement
CO.NAR,5.724508050089446,8.050089445438282,26.833631484794275,Relative persistent improvement
CO.NSA,10.611876270038383,1.1289230074508918,12.418153081959812,"Temporary decline, rebounded"
CO.QUI,-10.688328345446772,-14.96365968362548,17.101325352714834,"Temporary decline, rebounded"
CO.RIS,-10.696582311505349,-24.132533263762067,9.131228802504566,"Temporary decline, rebounded"
CO.SAN,0.0906371793709777,-4.758451916976344,-6.344602555968458,Relative persistent decline
CO.SUC,14.139827179890023,12.76512175962294,-21.602513747054203,Relative persistent decline
CO.TOL,10.706638115631694,4.461099214846539,-8.922198429693077,Relative persistent decline
CO.VAC,4.485852311939269,-6.161885043872621,4.929508035098097,"Temporary decline, rebounded"
CR.A,23.913043478260867,-16.30434782608696,-38.04347826086957,Relative persistent decline
CR.C,-3.334444814938313,6.668889629876626,-25.008336112037348,Improvement then reversal
CR.G,80.0,60.0,120.0,"Temporary decline, rebounded"
CR.H,2.3369946249123634,-14.606216405702266,-25.70694087403599,Relative persistent decline
CR.L,-19.230769230769234,-32.05128205128206,-96.15384615384616,Relative persistent decline
CR.SJ,-9.923447689254322,-15.999027907165136,-2.632751427761351,"Temporary decline, rebounded"
CU.01,16.613076098606644,18.086816720257236,12.057877813504824,Improvement then reversal
CU.03,-19.033840450301785,-22.435969889459052,-45.21102244727265,Relative persistent decline
CU.04,22.792022792022795,-2.0350020350020355,-46.80504680504681,Relative persistent decline
CU.05,-27.861771058315334,7.559395248380131,5.399568034557235,Relative persistent improvement
CU.06,0.8384572386808273,1.397428731134712,-30.743432084963665,Improvement then reversal
CU.07,-8.586147681740126,25.75844304522038,48.65483686319405,Relative persistent improvement
CU.08,-8.891523414344991,-37.04801422643746,-23.710729104919977,Relative persistent decline
CU.09,1.2496875781054733,-18.120469882529367,-21.244688827793052,Relative persistent decline
CU.10,-1.5965939329430547,17.29643427354976,-50.55880787653007,Improvement then reversal
CU.11,-27.810511430591568,-11.784115012962527,-29.460287532406316,Improvement then reversal
CU.12,-11.92368839427663,-11.92368839427663,-9.936406995230525,Relative persistent improvement
CU.13,-48.28511209043878,-0.4790189691511779,-20.118796704349492,Relative persistent improvement
CU.14,28.85482416591524,-9.017132551848512,13.525698827772768,Relative persistent decline
CU.16,-39.5882818685669,-39.58828186856691,-75.21773555027713,Relative persistent decline
CV.PR,16.166281755196305,34.64203233256351,80.83140877598153,Relative persistent improvement
CV.SV,-39.603960396039604,123.76237623762376,-99.00990099009901,Improvement then reversal
CY.01,21.438263229308006,21.573948439620082,16.824966078697422,Improvement then reversal
CY.02,14.540922309929371,20.772746157041965,27.00457000415455,Relative persistent improvement
CY.03,35.19061583577712,-21.994134897360702,0.0,Relative persistent decline
CY.04,-31.170483460559797,-67.58905852417303,-41.348600508905854,Relative persistent decline
CY.05,113.74407582938389,118.48341232227487,355.4502369668246,Relative persistent improvement
CY.06,82.61405672009866,80.14796547472257,73.98273736128237,Relative persistent decline
CZ.10,-10.364653067653776,-3.0912814050563124,-6.930771048279121,Relative persistent improvement
CZ.20,22.983870967741932,9.072580645161288,41.33064516129032,"Temporary decline, rebounded"
CZ.31,10.524031680590213,-7.3234241076272095,2.1699034392969514,Relative persistent decline
CZ.32,5.4932981762250055,20.874533069655016,16.479894528675015,Relative persistent improvement
CZ.41,7.352941176470585,-18.382352941176478,36.76470588235294,"Temporary decline, rebounded"
CZ.42,44.95456719273075,-22.71640363462458,81.30081300813008,"Temporary decline, rebounded"
